"Year_Q","Y","X1","X2","X3","X4","X5","X6","X7"
"1982_Dec",8.7933621,-1.9,5.3,1.7,-1,33.6,28.6,15288.9
"1982_Jun",6.56521856666667,0.5,7.9,3.4,2.5,31.5,31.2,15184.2
"1982_Mar",6.20535436666667,-1.2,-3.2,-0.1,-2.9,30.8,36.4,15121.7
"1982_Sep",7.1090549,-1,-5.9,-1.3,-0.5,32.6,28.4,15239.3
"1983_Dec",9.7076452,1.4,5.5,0.5,1.3,36.5,37.6,15483.5
"1983_Jun",10.2275074666667,-0.5,2.1,-0.6,1.2,35,31.7,15393.5
"1983_Mar",9.63735123333333,-1.3,4.8,0.7,0.5,34.3,30.3,15346.2
"1983_Sep",10.3574582,2.5,-4.9,0.6,-0.2,35.6,34.3,15439
"1984_Dec",8.63226946666667,0.3,-11.4,-0.5,-0.3,37.4,52.3,15677.3
"1984_Jun",9.1354825,0.8,3.7,-0.2,0.5,36.4,43.5,15579.4
"1984_Mar",9.36453273333333,2.2,-1.7,1.4,-0.4,36.3,40.9,15531.5
"1984_Sep",8.82572056666667,0.6,14.9,0.6,0.5,36.9,46.5,15628.5
"1985_Dec",7.8618772,-0.7,1.8,1.3,-4.4,40.5,66.9,15900.6
"1985_Jun",8.45066593333333,1.9,-3.5,0.9,-6.3,38.8,66,15788.3
"1985_Mar",8.53671543333333,1.1,7.5,2.7,-0.5,37.9,60.2,15736.7
"1985_Sep",8.17210946666667,1,4.9,1.3,-1.3,39.7,67.9,15839.7
"1986_Dec",8.33120493333333,1.3,-3.6,-0.6,-0.2,44.4,65.6,16138.8
"1986_Jun",7.801279,-0.6,3.3,2.1,0.1,42.1,64,16018.4
"1986_Mar",7.91326883333333,0.3,1.3,-0.7,-0.4,41.4,65.2,15961.5
"1986_Sep",8.2302431,-0.1,2.2,1,-4.6,43.2,64.2,16075
"1987_Dec",7.91538033333333,1.6,3.8,1.4,0.1,47.6,68.3,16394.6
"1987_Jun",8.1712024,1.2,2.6,0.7,2.1,46,68.7,16263.9
"1987_Mar",8.2790501,0.6,-0.5,0.2,0.6,45.3,67.7,16204
"1987_Sep",7.9801628,1.4,1,1.4,2.7,46.8,68.2,16328.9
"1988_Dec",6.7545687,1.1,-4.4,0.9,0.6,51.2,85,16687.1
"1988_Jun",7.64634516666667,-0.3,-2.3,-0.5,4.4,49.3,74.9,16532.2
"1988_Mar",7.51864386666667,0,0.9,0.9,5.1,48.4,70.4,16471.8
"1988_Sep",6.92114746666667,0.3,2.1,1.5,5.4,50.2,79.8,16612.6
"1989_Dec",5.85308443333333,-0.7,3.3,0.9,0.3,55.2,77.2,16936.7
"1989_Jun",6.1646069,1.8,3.2,2,-0.6,53,86.7,16814.4
"1989_Mar",6.59488893333333,0.6,7.5,2.1,4.7,51.7,87.7,16764
"1989_Sep",6.00727223333333,0.5,-8.7,-0.5,-1.7,54.2,82.8,16872
"1990_Dec",7.86761953333333,0.3,0.7,-0.2,-4.8,59,43.4,17169.8
"1990_Jun",6.4647368,-0.3,4,0.9,0.6,57.1,64.8,17065.1
"1990_Mar",6.22942706666667,0.5,1.2,1.4,-0.3,56.2,71.6,17005.6
"1990_Sep",7.2258751,-0.9,-1.8,-0.4,-1.1,57.5,54.1,17121.1
"1991_Dec",10.2199664,-0.2,-2.4,-0.5,-1.1,59.9,31.1,17379
"1991_Jun",9.63600466666667,-0.5,-0.3,0.1,-0.9,59,30.7,17284
"1991_Mar",8.73289536666667,-1.6,3.9,0.9,-1.4,58.9,35,17237.4
"1991_Sep",9.83620796666667,0.1,4.9,1.9,0.4,59.3,30.3,17338.9
"1992_Dec",11.1487661333333,1.9,2.2,0.5,-1.4,60.1,35.4,17557.1
"1992_Jun",10.6344634,0.4,2.6,0.8,-0.9,59.7,32.7,17478.6
"1992_Mar",10.4168938333333,0.5,-1.4,0.3,0.3,59.9,31.8,17441.3
"1992_Sep",10.8236422666667,0.8,0.8,1.1,-1.8,59.8,33.6,17523.3
"1993_Dec",10.8880509333333,1.6,2.9,1.5,-0.4,61.2,50.1,17719.1
"1993_Jun",10.8489991,0.4,1.9,0.7,-2.9,60.8,41.5,17634.8
"1993_Mar",10.902361,0.5,-0.9,-0.4,0.2,60.6,38.4,17609.6
"1993_Sep",10.8885570333333,-0.1,-0.6,-0.1,-0.7,61.1,45,17683.7
"1994_Dec",9.05719553333333,0.8,0.6,0.5,3.5,62.8,81.6,17893.4
"1994_Jun",9.8834868,1,-2.8,0.2,-0.4,61.9,70.6,17805.5
"1994_Mar",10.4404496666667,1.4,2.1,0.7,1.2,61.5,58.5,17772.1
"1994_Sep",9.47598803333333,0.5,4.7,2.1,0.7,62.3,79.7,17859.3
"1995_Dec",8.39053173333333,-0.4,3.5,1.6,1.2,66,75.8,18119.6
"1995_Jun",8.36527693333333,0.1,3.6,1.8,-1.3,64.7,74.9,18004.9
"1995_Mar",8.765607,-0.3,1.4,1.1,0.5,63.8,78.7,17951.6
"1995_Sep",8.3693374,2,-2.2,-0.3,0.5,65.5,74.3,18062.2
"1996_Dec",8.62030633333333,0.6,-2.2,0.3,0.2,67,80.3,18330.1
"1996_Jun",8.4158269,0.3,-3.3,0.1,2,66.7,78.1,18224.8
"1996_Mar",8.4003284,1.4,0.3,1.2,1.5,66.2,76.8,18176
"1996_Sep",8.6217876,0.5,2.7,0.4,0.2,66.9,79.1,18281.3
"1997_Dec",7.9768735,1.2,0.7,1.1,-0.6,66.8,92,18510
"1997_Jun",8.48247616666667,2.7,3.1,1.6,0.8,66.9,82.8,18423
"1997_Mar",8.62081306666667,0.4,1.5,1.1,0.2,67.1,81.8,18388.7
"1997_Sep",8.37388693333333,-0.1,3,1.7,-0.1,66.6,85.5,18468.7
"1998_Dec",7.37470946666667,1.2,4.5,1,-1.2,67.8,94,18705.6
"1998_Jun",7.73376336666667,0.7,3.8,1.6,-0.4,67.4,99.3,18607.6
"1998_Mar",7.84054373333333,0.4,-3.9,-0.1,-1.6,67,97,18572.4
"1998_Sep",7.78778796666667,1.6,-0.9,2,-3.2,67.5,97.3,18658.4
"1999_Dec",6.63370186666667,1.4,4,1.4,1.9,69.1,111.3,18919.2
"1999_Jun",6.88605773333333,0,1.5,0.9,-0.5,68.1,98.7,18812.3
